Date,Description,Amount,Category
2024-08-16,Value talk ever realize.,81.16,dining
2024-07-18,Pm or sit store everyone.,81.16,misc
2024-07-24,Institution college run reflect.,81.16, Dining 
2025-03-09,Cover economic national nature sell.,81.16, Food 
2024-10-06,Live although reason.,, Transport 
2025-01-04,Family exist approach see reduce.,81.16,GROCERIES
2025-05-24,Wish action mouth.,81.16,MISC
2025-06-13,Yourself clearly certain a each.,81.16, Entertainment 
2025-01-29,Mr everybody activity play.,81.16,TRANSPORT
2024-12-19,Different consider we.,81.16,rent
2024-08-31,Per seem race sing cut.,81.16,entertainment
2025-03-17,Whole right.,81.16,transport
2024-11-11,Country necessary.,81.16,GROCERIES
2025-06-24,Take care idea beat.,1472.09,shopping
2024-10-25,Suffer less executive.,81.16, Medical 
2025-03-15,Value role ten turn agree.,81.16, Entertainment 
2025-05-15,Leave expect.,81.16,shopping
2025-06-16,Wear increase no sound low.,81.16, Entertainment 
2024-08-24,Would continue often southern.,81.16,utilities
2024-11-08,Always unit.,81.16,
2024-11-06,Possible foreign.,81.16,DINING
2024-07-17,Friend success form.,81.16,GROCERIES
2025-03-11,Seven color soldier.,81.16,medical
2024-12-25,Dog ok chair third.,81.16,medical
2024-11-24,Court consider offer heart.,81.16,RENT
2024-10-01,Stage say put process tend.,81.16,entertainment
2024-07-05,Data list change particular.,81.16,dining
2025-03-24,Group see crime.,81.16,MISC
2025-05-28,Call budget.,81.16, Groceries 
2025-01-13,Part grow administration sister also.,81.16,dining
2025-04-10,Hot strategy.,81.16,DINING
2025-01-24,Baby site difficult important bad.,81.16,utilities
2025-03-25,Fly Mrs.,81.16,DINING
2024-09-24,This their.,81.16, Dining 
2024-12-21,Contain class price.,81.16,
2024-07-19,Pick place kitchen measure hair.,81.16,RENT
2025-01-08,Cost win amount note break.,81.16,medical
2025-02-25,Act institution quite beyond.,81.16, Utilities 
2025-05-28,Thousand share move hit.,81.16,GROCERIES
2025-06-01,Democratic paper.,81.16, Shopping 
2024-08-13,Apply whatever this fish.,81.16,TRANSPORT
